ISO_WEEKSTARTDATE,COVID,INFLUENZA,RSV,SONSTIGE,AUFNAHMEN,MA14,STD14,Z_Score,Outbreak_Z
2023-05-08,167,8,0,1000,1159,,,,False
2023-05-15,148,3,3,963,1091,,,,False
2023-05-22,123,2,4,993,1109,,,,False
2023-05-29,95,4,3,891,982,,,,False
2023-06-05,88,2,3,875,950,,,,False
2023-06-12,77,5,0,841,913,,,,False
2023-06-19,65,2,0,836,891,,,,False
2023-06-26,42,1,4,839,877,,,,False
2023-07-03,59,0,2,808,858,,,,False
2023-07-10,45,1,2,827,869,,,,False
2023-07-17,48,0,3,769,817,,,,False
2023-07-24,60,0,1,775,828,,,,False
2023-07-31,68,0,1,719,778,,,,False
2023-08-07,131,0,1,798,910,930.8571428571429,115.59136056541007,-0.18043859640652285,False
2023-08-14,171,2,1,788,939,915.1428571428571,95.37686958978709,0.2501355198566666,False
2023-08-21,218,2,3,808,1009,909.2857142857143,85.78185981037876,1.162416925148331,False
2023-08-28,230,1,3,759,965,899.0,66.4472028698784,0.9932698014278473,False
2023-09-04,301,1,4,836,1110,908.1428571428571,84.97045381765372,2.375615685074809,True
2023-09-11,328,4,2,961,1266,930.7142857142857,128.01347799919563,2.6191438552104733,True
2023-09-18,355,3,0,937,1260,955.5,155.05619328786278,1.9638041766876984,False
2023-09-25,431,4,4,983,1374,990.0,189.5074587531501,2.0263054685366937,True
2023-10-02,520,1,3,1020,1481,1033.142857142857,226.87233181914206,1.974049189983049,False
2023-10-09,614,1,3,1031,1592,1085.5714285714287,264.9074480718803,1.9117188856507967,False
2023-10-16,721,5,2,1105,1734,1147.357142857143,307.89598821751395,1.9053280315182985,False
2023-10-23,846,6,6,1063,1835,1220.0714285714287,342.1754979956504,1.7971145655683038,False
2023-10-30,931,4,7,1030,1869,1294.4285714285713,362.90234208407895,1.5832673475507888,False
2023-11-06,926,11,4,1016,1867,1372.2142857142858,360.39576079027955,1.3728954891165839,False
2023-11-13,1176,13,13,1055,2133,1459.5714285714287,386.98255064730574,1.7402039712181525,False
2023-11-20,1356,22,20,1110,2375,1562.142857142857,426.663596028328,1.9051476395543572,False
2023-11-27,1470,43,36,1144,2524,1670.357142857143,465.8987356369751,1.8322497827253375,False
2023-12-04,1557,71,53,1204,2682,1793.0,491.2398756052033,1.809706508260877,False
2023-12-11,1563,101,98,1312,2852,1917.4285714285713,524.4303450537421,1.7820697016982425,False
2023-12-18,1426,184,143,1343,2875,2032.357142857143,546.5287109275525,1.5418089485413278,False
2023-12-25,1250,286,257,1684,3221,2172.4285714285716,583.4033720381593,1.7973352209264286,False
2024-01-01,833,302,308,1645,2884,2280.285714285714,563.6866871930558,1.0710103669833895,False
2024-01-08,516,295,209,1416,2307,2339.285714285714,514.6901126774369,-0.06272845250079266,False
2024-01-15,365,452,239,1514,2436,2399.5714285714284,467.71238931728107,0.07788669331968366,False
2024-01-22,282,603,411,1620,2767,2473.3571428571427,434.97225502020643,0.6750841088225645,False
2024-01-29,229,670,441,1794,2966,2554.1428571428573,411.6981450496997,1.0003861999607109,False
2024-02-05,157,631,472,1777,2900,2627.785714285714,369.79311858044576,0.7361258823832536,False
2024-02-12,133,417,375,1585,2391,2665.214285714286,308.2669119626532,-0.8895352536165383,False
2024-02-19,106,245,296,1444,2006,2656.1428571428573,326.4647129342005,-1.9914644106540687,False
2024-02-26,71,151,210,1261,1644,2603.9285714285716,419.95905739739794,-2.28576703971457,False
2024-03-04,65,100,183,1290,1577,2536.285714285714,502.06411306363515,-1.9106836942239838,False
2024-03-11,64,65,125,1203,1415,2445.785714285714,581.6603791761114,-1.7721435930461056,False
2024-03-18,57,49,85,1182,1343,2338.0,637.7093623032608,-1.5602719025580662,False
2024-03-25,50,35,71,1232,1368,2230.3571428571427,666.6255559668655,-1.293615486442596,False
2024-04-01,45,18,42,1271,1364,2097.714285714286,638.504795304134,-1.1491131955630833,False
2024-04-08,37,15,20,1158,1219,1978.7857142857142,635.841438697444,-1.1949295343854545,False
2024-04-15,44,11,22,1097,1167,1897.357142857143,662.9925869341756,-1.1016068011174542,False
2024-04-22,31,6,12,1121,1160,1806.2142857142858,670.9081306559191,-0.9631934033688172,False
2024-04-29,39,12,3,1181,1230,1696.4285714285713,625.8350377739284,-0.7452899618526315,False
2024-05-06,42,6,6,1089,1137,1565.7857142857142,522.855058393731,-0.820085236629424,False
2024-05-13,27,7,5,1065,1099,1437.142857142857,367.9445729878461,-0.9190048772754331,False
2024-05-20,29,3,2,992,1021,1339.2857142857142,261.54112151200565,-1.2169624128154692,False
2024-05-27,51,4,1,968,1014,1268.4285714285713,192.20610503619844,-1.323727835703525,False
2024-06-03,63,5,2,1082,1140,1232.4285714285713,161.13955456049678,-0.5735933159345478,False
2024-06-10,67,1,2,1017,1078,1196.7857142857142,131.5266446076895,-0.9031304238013657,False
2024-06-17,100,3,2,1009,1095,1173.9285714285713,117.77388001244577,-0.6701704267553259,False
2024-06-24,95,3,2,967,1056,1153.4285714285713,110.85591083488549,-0.8788757468574361,False
2024-07-01,103,0,1,812,904,1120.2857142857142,111.13154268801826,-1.9462135506648848,False
2024-07-08,152,3,4,952,1090,1100.7142857142858,86.25135768957904,-0.12422164707072533,False
2024-07-15,172,3,1,972,1131,1094.4285714285713,79.94393639940404,0.45746344524137417,False
2024-07-22,176,5,0,942,1094,1089.2142857142858,77.1792903384181,0.0620077518817506,False
2024-07-29,203,4,1,941,1129,1087.0,75.41679062179246,0.5569051620165824,False
2024-08-05,262,4,2,916,1147,1081.0714285714287,65.98305643316849,0.9991742576421518,False
2024-08-12,247,1,1,911,1136,1081.0,65.91836443078462,0.8343653619887811,False
2024-08-19,289,3,0,879,1139,1083.857142857143,67.60388830743896,0.8156758216640821,False
2024-08-26,349,2,1,901,1213,1097.5714285714287,73.1213052039163,1.5785901401331812,False
2024-09-02,282,1,0,714,943,1092.5,81.36125519037199,-1.8374839430659535,False
2024-09-09,401,0,3,937,1306,1104.357142857143,99.00008325004328,2.0367948240363623,True
2024-09-16,683,3,1,1167,1784,1154.7857142857142,206.25420408635517,3.0506737474831995,True
2024-09-23,835,3,1,1107,1844,1208.2857142857142,275.1783837025397,2.3101897654921744,True
2024-09-30,915,3,0,1219,2028,1277.7142857142858,347.0376677785026,2.1619719815676763,True
2024-10-07,981,8,0,1169,2026,1357.857142857143,381.8986690296172,1.7495291587178612,False
2024-10-14,821,4,3,1158,1874,1413.857142857143,396.79075228500596,1.1596612433455775,False
2024-10-21,721,13,4,1110,1758,1458.642857142857,397.7922935291844,0.7525463608187781,False
2024-10-28,477,9,1,1090,1508,1488.2142857142858,383.7399316787807,0.051560217356468284,False
2024-11-04,406,7,0,1116,1456,1511.5714285714287,369.8957679142589,-0.15023537275049337,False
2024-11-11,352,6,7,1098,1413,1530.5714285714287,356.31095198645625,-0.3299686072402784,False
